Number of operations,t=1000d,t=2000d,t=3000d
240,0.21337213893344653,0.38121660819385916,0.5132477440400283
241,0.21415837361165446,0.38245293823532,0.5147058126114998
242,0.21494382244817045,0.38368679808771033,0.516159513532009
243,0.21572848622844354,0.3849181926864713,0.517608859884874
244,0.2165123657371375,0.3861471269571829,0.519053864714222
245,0.21729546175813186,0.3873736058155839,0.5204945410251058
246,0.21807777507452275,0.3885976341675913,0.5219309017836224
247,0.2188593064686235,0.3898192169093202,0.523362959917028
248,0.21964005672196574,0.39103835892710315,0.5247907283138555
249,0.22042002661529958,0.39225506509750985,0.5262142198240303
250,0.22119921692859512,0.3934693402873666,0.5276334472589853
251,0.22197762844104274,0.3946811893537757,0.5290484233917772
252,0.22275526193105388,0.3958906171441353,0.5304591609572007
253,0.22353211817626217,0.39709762849615793,0.5318656726519035
254,0.22430819795352397,0.39830222823789063,0.5332679711345001
255,0.22508350203891903,0.3995044211877341,0.5346660690256866
256,0.2258580312077516,0.4007042121544616,0.5360599789083533
257,0.22663178623455094,0.40190160593723867,0.5374497133276985
258,0.22740476789307196,0.403096607325642,0.5388352847913416
259,0.22817697695629657,0.4042892210996788,0.5402167057694348
260,0.22894841419643375,0.4054794520298056,0.5415939886947765
261,0.22971908038492084,0.406667304876948,0.5429671459629222
262,0.23048897629242415,0.4078527843925187,0.5443361899322965
263,0.23125810268883973,0.4090358953184374,0.5457011329243044
264,0.23202646034329388,0.4102166423871496,0.5470619872234423
265,0.23279405002414433,0.4113950303216448,0.5484187650774077
266,0.23356087249898083,0.4125710638354766,0.5497714786972108
267,0.2343269285346261,0.41374474763278035,0.551120140257283
268,0.23509221889713605,0.41491608640829314,0.5524647618955876
269,0.23585674435180104,0.4160850848473713,0.5538053557137285
270,0.23662050566314685,0.41725174762601036,0.5551419337770589
271,0.23738350359493465,0.4184160794108629,0.5564745081147905
272,0.23814573891016244,0.4195780848592576,0.5578030907201014
273,0.2389072123710657,0.42073776861921797,0.5591276935502438
274,0.2396679247391179,0.4218951353294804,0.5604483285266524
275,0.24042787677503152,0.42305018961951335,0.5617650075350509
276,0.24118706923875866,0.4242029361095355,0.5630777424255589
277,0.24194550288949168,0.4253533794105343,0.5643865450127996
278,0.24270317848566447,0.42650152412428466,0.565691427076005
279,0.24346009678495262,0.4276473748433668,0.5669924003591224
280,0.24421625854427453,0.42879093615118513,0.5682894765709203
281,0.24497166451979202,0.42993221262198655,0.5695826673850933
282,0.24572631546691104,0.43107120882087824,0.5708719844403675
283,0.24648021214028282,0.43220792930384677,0.572157439340605
284,0.24723335529380375,0.43334237861777536,0.5734390436549086
285,0.24798574568061738,0.4344745613004629,0.5747168089177259
286,0.24873738405311396,0.4356044818806417,0.5759907466289527
287,0.24948827116293204,0.4367321448779954,0.5772608682540372
288,0.25023840776095874,0.43785755480317756,0.5785271852240823
289,0.25098779459733067,0.4389807161578294,0.5797897089359497
290,0.25173643242143473,0.44010163343459796,0.581048450752361
291,0.25248432198190895,0.44122031111715365,0.5823034220020011
292,0.25323146402664287,0.44233675368020875,0.5835546339796199
293,0.2539778593027785,0.4434509655895351,0.5848020979461335
294,0.25472350855671133,0.44456295130198176,0.5860458251287259
295,0.2554684125340906,0.4456727152654929,0.5872858267209503
296,0.2562125719798204,0.4467802619191261,0.5885221138828294
297,0.25695598763806016,0.4478855956930694,0.589754697740956
298,0.25769866025222565,0.4489887210086593,0.5909835893885931
299,0.25844059056498947,0.4500896422783984,0.5922087998857738
300,0.2591817793182821,0.4511883639059735,0.5934303402594009
